name,status,seconds
AUTH_LOGIN,200,1.617
TRIP_CREATE,200,2.319
DAY_CREATE,200,2.287
PLACE_Start,200,1.498
PLACE_End,200,1.582
PLACE_Via1,200,1.467
PLACE_Via2,200,1.604
PLACE_Via3,200,1.548
STOP_START,200,4.464
STOP_VIA1,200,8.055
STOP_VIA2,200,8.238
STOP_END,200,10.507
ROUTE_COMPUTE_A_1,429,2.848
ROUTE_COMPUTE_A_2,429,2.728
ROUTE_COMPUTE_A_3,429,2.641
ROUTE_COMPUTE_A_4,429,3.779
ROUTE_COMPUTE_A_5,429,2.638
ACTIVE_SUMMARY_1,200,2.776
STOP_VIA3,400,1.828
STOPS_LIST_FOR_SEQ,200,1.149
STOP_VIA3_RETRY,200,4.966
ROUTE_COMPUTE_B_1,429,2.871
ROUTE_COMPUTE_B_2,200,4.112
ROUTE_COMMIT_B,200,4.375
ACTIVE_SUMMARY_2,200,1.151
STOPS_LIST,200,1.143
